id,title,release_date,genres,vote_average,overview
875828,Peaky Blinders: El hombre inmortal,2026-03-05,"Crimen, Drama",7.46,"El gánster Tommy Shelby regresa a Birmingham para salvar a su familia —y a su país— cuando su hijo, del que se ha distanciado, se ve envuelto en un complot nazi."
1311031,Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,2025-07-18,"Animación, Acción, Fantasía",7.7,El Cuerpo de Cazadores de Demonios se enfrenta a los Doce Kizuki restantes antes de enfrentarse a Muzan en el Castillo del Infinito para derrotarlo de una vez por todas.
1205225,Las Puertas del Infierno,2025-04-08,"Terror, Suspense, Acción",5.892,"Un grupo de amigos intenta escapar de la ciudad después de un brote de posesiones demoníacas. Los amigos buscan refugio en una iglesia abandonada, pero sus planes de escape se arruinan cuando uno de ellos se vuelve poseído."
299536,Vengadores: Infinity War,2018-04-25,"Aventura, Acción, Ciencia ficción",8.234,"El todopoderoso Thanos ha despertado con la promesa de arrasar con todo a su paso, portando el Guantelete del Infinito, que le confiere un poder incalculable. Los únicos capaces de pararle los pies son los Vengadores y el resto de superhéroes de la galaxia, que deberán estar dispuestos a sacrificarlo todo por un bien mayor. Capitán América e Ironman deberán limar sus diferencias, Black Panther apoyará con sus tropas desde Wakanda, Thor y los Guardianes de la Galaxia e incluso Spider-Man se unirán antes de que los planes de devastación y ruina pongan fin al universo. ¿Serán capaces de frenar el avance del titán del caos?"
1424965,Infierno bajo cero,2026-02-24,"Drama, Suspense",5.192,
575265,Misión: Imposible - Sentencia final,2025-05-17,"Acción, Suspense, Aventura",7.174,"El agente Ethan Hunt continúa su misión de impedir que Gabriel controle el tecnológicamente omnipotente programa de IA conocido como ""the Entity""."
240,El Padrino Parte II,1974-12-20,"Drama, Crimen",8.572,"Continuación de la saga de los Corleone con dos historias paralelas: la elección de Michael Corleone como jefe de los negocios familiares y los orígenes del patriarca, el ya fallecido Don Vito, primero en Sicilia y luego en Estados Unidos, donde, empezando desde abajo, llegó a ser un poderosísimo jefe de la mafia de Nueva York."
11427,Dead End: Atajo al infierno,2003-12-12,"Misterio, Terror, Suspense",6.365,"De camino para visitar a sus familiares y poder pasar el día de Nochebuena junto a ellos, Frank Harrington lleva a su familia por un atajo a través de un bosque, pero lo que en un principio iba a ser una buena idea acaba convirtiéndose en el mayor error de su vida. Aterrorizados, los Harrington tendrán un objetivo, abandonar cuanto antes la carretera por la que optaron en un principio."
1022789,Del revés 2 (Inside Out 2),2024-06-11,"Animación, Aventura, Comedia, Familia",7.548,"Riley entra en la adolescencia y el Cuartel General de su cabeza sufre una repentina reforma para hacerle hueco a algo totalmente inesperado propio de la pubertad: ¡nuevas emociones! Alegría, Tristeza, Ira, Miedo y Asco, con años de impecable gestión a sus espaldas (según ellos...) no saben muy bien qué sentir cuando aparece con enorme ímpetu Ansiedad. Y no viene sola: le acompañan envidia, vergüenza y aburrimiento."
1032892,En un instante,2026-01-26,"Ciencia ficción, Drama",5.2,"Tres historias interconectadas reflexionan sobre la esperanza, las relaciones humanas y el ciclo de la vida a lo largo de miles de años."
845394,I,2021-07-16,"Drama, Acción, Suspense",2.0,
